wikidata_scientist,wikidata_scientistWikipediaLink,wikidata_doctoralStudent,wikidata_doctoralStudentWikipediaLink,wikidata_fk,dbpedia_scientist,dbpedia_scientistLink,dbpedia_doctoralStudent,dbpedia_doctoralStudentLink,dbpedia_fk
http://www.wikidata.org/entity/Q315394,/wiki/Stephen_Smale,http://www.wikidata.org/entity/Q7506899,/wiki/Siavash_Shahshahani,/wiki/Stephen_Smale/wiki/Siavash_Shahshahani,http://dbpedia.org/resource/Stephen_Smale,/wiki/Stephen_Smale,http://dbpedia.org/resource/Siavash_Shahshahani,/wiki/Siavash_Shahshahani,/wiki/Stephen_Smale/wiki/Siavash_Shahshahani
http://www.wikidata.org/entity/Q28189,/wiki/Abdus_Salam,http://www.wikidata.org/entity/Q21165121,/wiki/Peter_West_(physicist),/wiki/Abdus_Salam/wiki/Peter_West_(physicist),http://dbpedia.org/resource/Abdus_Salam,/wiki/Abdus_Salam,http://dbpedia.org/resource/Peter_West_(physicist),/wiki/Peter_West_(physicist),/wiki/Abdus_Salam/wiki/Peter_West_(physicist)
http://www.wikidata.org/entity/Q21286538,/wiki/Herbert_Clemens,http://www.wikidata.org/entity/Q372263,/wiki/Enrico_Arbarello,/wiki/Herbert_Clemens/wiki/Enrico_Arbarello,http://dbpedia.org/resource/Herbert_Clemens,/wiki/Herbert_Clemens,http://dbpedia.org/resource/Enrico_Arbarello,/wiki/Enrico_Arbarello,/wiki/Herbert_Clemens/wiki/Enrico_Arbarello
http://www.wikidata.org/entity/Q951426,/wiki/Howard_Georgi,http://www.wikidata.org/entity/Q2850406,/wiki/Ann_Nelson,/wiki/Howard_Georgi/wiki/Ann_Nelson,http://dbpedia.org/resource/Howard_Georgi,/wiki/Howard_Georgi,http://dbpedia.org/resource/Ann_Nelson,/wiki/Ann_Nelson,/wiki/Howard_Georgi/wiki/Ann_Nelson
http://www.wikidata.org/entity/Q92951,/wiki/Jacob_T._Schwartz,http://www.wikidata.org/entity/Q1522271,/wiki/Gian-Carlo_Rota,/wiki/Jacob_T._Schwartz/wiki/Gian-Carlo_Rota,http://dbpedia.org/resource/Jacob_T._Schwartz,/wiki/Jacob_T._Schwartz,http://dbpedia.org/resource/Gian-Carlo_Rota,/wiki/Gian-Carlo_Rota,/wiki/Jacob_T._Schwartz/wiki/Gian-Carlo_Rota
http://www.wikidata.org/entity/Q1927214,/wiki/Michael_D._Fayer,http://www.wikidata.org/entity/Q20753163,/wiki/R._J._Dwayne_Miller,/wiki/Michael_D._Fayer/wiki/R._J._Dwayne_Miller,http://dbpedia.org/resource/Michael_D._Fayer,/wiki/Michael_D._Fayer,http://dbpedia.org/resource/R._J._Dwayne_Miller,/wiki/R._J._Dwayne_Miller,/wiki/Michael_D._Fayer/wiki/R._J._Dwayne_Miller
http://www.wikidata.org/entity/Q2837899,/wiki/Allen_Hatcher,http://www.wikidata.org/entity/Q71192128,/wiki/Kiyoshi_Igusa,/wiki/Allen_Hatcher/wiki/Kiyoshi_Igusa,http://dbpedia.org/resource/Allen_Hatcher,/wiki/Allen_Hatcher,http://dbpedia.org/resource/Kiyoshi_Igusa,/wiki/Kiyoshi_Igusa,/wiki/Allen_Hatcher/wiki/Kiyoshi_Igusa
http://www.wikidata.org/entity/Q24844370,/wiki/David_Hall_(chemist),http://www.wikidata.org/entity/Q67188130,/wiki/Joyce_Waters,/wiki/David_Hall_(chemist)/wiki/Joyce_Waters,http://dbpedia.org/resource/David_Hall_(chemist),/wiki/David_Hall_(chemist),http://dbpedia.org/resource/Joyce_Waters,/wiki/Joyce_Waters,/wiki/David_Hall_(chemist)/wiki/Joyce_Waters
http://www.wikidata.org/entity/Q11101414,/wiki/Frank_Lauren_Hitchcock,http://www.wikidata.org/entity/Q92760,/wiki/Claude_Shannon,/wiki/Frank_Lauren_Hitchcock/wiki/Claude_Shannon,http://dbpedia.org/resource/Frank_Lauren_Hitchcock,/wiki/Frank_Lauren_Hitchcock,http://dbpedia.org/resource/Claude_Shannon,/wiki/Claude_Shannon,/wiki/Frank_Lauren_Hitchcock/wiki/Claude_Shannon
http://www.wikidata.org/entity/Q16319026,/wiki/Fyodor_Gakhov,http://www.wikidata.org/entity/Q12150381,/wiki/Stefan_Grigorievich_Samko,/wiki/Fyodor_Gakhov/wiki/Stefan_Grigorievich_Samko,http://dbpedia.org/resource/Fyodor_Gakhov,/wiki/Fyodor_Gakhov,http://dbpedia.org/resource/Stefan_Grigorievich_Samko,/wiki/Stefan_Grigorievich_Samko,/wiki/Fyodor_Gakhov/wiki/Stefan_Grigorievich_Samko
http://www.wikidata.org/entity/Q1389320,/wiki/H._F._Baker,http://www.wikidata.org/entity/Q364575,/wiki/J._A._Todd,/wiki/H._F._Baker/wiki/J._A._Todd,http://dbpedia.org/resource/H._F._Baker,/wiki/H._F._Baker,http://dbpedia.org/resource/J._A._Todd,/wiki/J._A._Todd,/wiki/H._F._Baker/wiki/J._A._Todd
http://www.wikidata.org/entity/Q2910773,/wiki/Shimon_Even,http://www.wikidata.org/entity/Q4865843,/wiki/Baruch_Awerbuch,/wiki/Shimon_Even/wiki/Baruch_Awerbuch,http://dbpedia.org/resource/Shimon_Even,/wiki/Shimon_Even,http://dbpedia.org/resource/Baruch_Awerbuch,/wiki/Baruch_Awerbuch,/wiki/Shimon_Even/wiki/Baruch_Awerbuch
http://www.wikidata.org/entity/Q722273,/wiki/Jacob_Wolfowitz,http://www.wikidata.org/entity/Q3111522,/wiki/Gottfried_E._Noether,/wiki/Jacob_Wolfowitz/wiki/Gottfried_E._Noether,http://dbpedia.org/resource/Jacob_Wolfowitz,/wiki/Jacob_Wolfowitz,http://dbpedia.org/resource/Gottfried_E._Noether,/wiki/Gottfried_E._Noether,/wiki/Jacob_Wolfowitz/wiki/Gottfried_E._Noether
http://www.wikidata.org/entity/Q164425,/wiki/Jacques_Hadamard,http://www.wikidata.org/entity/Q720471,/wiki/Szolem_Mandelbrojt,/wiki/Jacques_Hadamard/wiki/Szolem_Mandelbrojt,http://dbpedia.org/resource/Jacques_Hadamard,/wiki/Jacques_Hadamard,http://dbpedia.org/resource/Szolem_Mandelbrojt,/wiki/Szolem_Mandelbrojt,/wiki/Jacques_Hadamard/wiki/Szolem_Mandelbrojt
http://www.wikidata.org/entity/Q461347,/wiki/Mark_Vishik,http://www.wikidata.org/entity/Q6849714,/wiki/Mikhail_Shubin_(mathematician),/wiki/Mark_Vishik/wiki/Mikhail_Shubin_(mathematician),http://dbpedia.org/resource/Mark_Vishik,/wiki/Mark_Vishik,http://dbpedia.org/resource/Mikhail_Shubin_(mathematician),/wiki/Mikhail_Shubin_(mathematician),/wiki/Mark_Vishik/wiki/Mikhail_Shubin_(mathematician)
http://www.wikidata.org/entity/Q333494,/wiki/Michael_Freedman,http://www.wikidata.org/entity/Q1655425,/wiki/Ian_Agol,/wiki/Michael_Freedman/wiki/Ian_Agol,http://dbpedia.org/resource/Michael_Freedman,/wiki/Michael_Freedman,http://dbpedia.org/resource/Ian_Agol,/wiki/Ian_Agol,/wiki/Michael_Freedman/wiki/Ian_Agol
http://www.wikidata.org/entity/Q61761,/wiki/Pascual_Jordan,http://www.wikidata.org/entity/Q97491,/wiki/Wolfgang_Kundt,/wiki/Pascual_Jordan/wiki/Wolfgang_Kundt,http://dbpedia.org/resource/Pascual_Jordan,/wiki/Pascual_Jordan,http://dbpedia.org/resource/Wolfgang_Kundt,/wiki/Wolfgang_Kundt,/wiki/Pascual_Jordan/wiki/Wolfgang_Kundt
http://www.wikidata.org/entity/Q983693,/wiki/Peter_Cameron_(mathematician),http://www.wikidata.org/entity/Q3562480,/wiki/Dugald_Macpherson,/wiki/Peter_Cameron_(mathematician)/wiki/Dugald_Macpherson,http://dbpedia.org/resource/Peter_Cameron_(mathematician),/wiki/Peter_Cameron_(mathematician),http://dbpedia.org/resource/Dugald_Macpherson,/wiki/Dugald_Macpherson,/wiki/Peter_Cameron_(mathematician)/wiki/Dugald_Macpherson
http://www.wikidata.org/entity/Q930802,/wiki/Peter_Hilton,http://www.wikidata.org/entity/Q7149814,/wiki/Paul_Chester_Kainen,/wiki/Peter_Hilton/wiki/Paul_Chester_Kainen,http://dbpedia.org/resource/Peter_Hilton,/wiki/Peter_Hilton,http://dbpedia.org/resource/Paul_Chester_Kainen,/wiki/Paul_Chester_Kainen,/wiki/Peter_Hilton/wiki/Paul_Chester_Kainen
http://www.wikidata.org/entity/Q441185,/wiki/Raoul_Bott,http://www.wikidata.org/entity/Q369658,/wiki/Daniel_Quillen,/wiki/Raoul_Bott/wiki/Daniel_Quillen,http://dbpedia.org/resource/Raoul_Bott,/wiki/Raoul_Bott,http://dbpedia.org/resource/Daniel_Quillen,/wiki/Daniel_Quillen,/wiki/Raoul_Bott/wiki/Daniel_Quillen
http://www.wikidata.org/entity/Q193803,/wiki/Roger_Penrose,http://www.wikidata.org/entity/Q1425984,/wiki/Richard_S._Ward,/wiki/Roger_Penrose/wiki/Richard_S._Ward,http://dbpedia.org/resource/Roger_Penrose,/wiki/Roger_Penrose,http://dbpedia.org/resource/Richard_S._Ward,/wiki/Richard_S._Ward,/wiki/Roger_Penrose/wiki/Richard_S._Ward
http://www.wikidata.org/entity/Q555764,/wiki/Roland_Glowinski,http://www.wikidata.org/entity/Q102231103,/wiki/Fatiha_Alabau,/wiki/Roland_Glowinski/wiki/Fatiha_Alabau,http://dbpedia.org/resource/Roland_Glowinski,/wiki/Roland_Glowinski,http://dbpedia.org/resource/Fatiha_Alabau,/wiki/Fatiha_Alabau,/wiki/Roland_Glowinski/wiki/Fatiha_Alabau
http://www.wikidata.org/entity/Q2167581,/wiki/Ross_J._Anderson,http://www.wikidata.org/entity/Q61594906,/wiki/George_Danezis,/wiki/Ross_J._Anderson/wiki/George_Danezis,http://dbpedia.org/resource/Ross_J._Anderson,/wiki/Ross_J._Anderson,http://dbpedia.org/resource/George_Danezis,/wiki/George_Danezis,/wiki/Ross_J._Anderson/wiki/George_Danezis
http://www.wikidata.org/entity/Q30769,/wiki/Sophus_Lie,http://www.wikidata.org/entity/Q84785,/wiki/Gerhard_Kowalewski,/wiki/Sophus_Lie/wiki/Gerhard_Kowalewski,http://dbpedia.org/resource/Sophus_Lie,/wiki/Sophus_Lie,http://dbpedia.org/resource/Gerhard_Kowalewski,/wiki/Gerhard_Kowalewski,/wiki/Sophus_Lie/wiki/Gerhard_Kowalewski
http://www.wikidata.org/entity/Q77313,/wiki/Carl_Neumann,http://www.wikidata.org/entity/Q3709927,/wiki/William_Edward_Story,/wiki/Carl_Neumann/wiki/William_Edward_Story,http://dbpedia.org/resource/Carl_Neumann,/wiki/Carl_Neumann,http://dbpedia.org/resource/William_Edward_Story,/wiki/William_Edward_Story,/wiki/Carl_Neumann/wiki/William_Edward_Story
http://www.wikidata.org/entity/Q310765,/wiki/David_Bohm,http://www.wikidata.org/entity/Q5407606,/wiki/Eugene_P._Gross,/wiki/David_Bohm/wiki/Eugene_P._Gross,http://dbpedia.org/resource/David_Bohm,/wiki/David_Bohm,http://dbpedia.org/resource/Eugene_P._Gross,/wiki/Eugene_P._Gross,/wiki/David_Bohm/wiki/Eugene_P._Gross
http://www.wikidata.org/entity/Q451213,/wiki/Edwin_Hewitt,http://www.wikidata.org/entity/Q18216322,/wiki/George_Herbert_Swift_Jr,/wiki/Edwin_Hewitt/wiki/George_Herbert_Swift_Jr,http://dbpedia.org/resource/Edwin_Hewitt,/wiki/Edwin_Hewitt,http://dbpedia.org/resource/George_Herbert_Swift_Jr,/wiki/George_Herbert_Swift_Jr,/wiki/Edwin_Hewitt/wiki/George_Herbert_Swift_Jr
http://www.wikidata.org/entity/Q250920,/wiki/Enrico_Betti,http://www.wikidata.org/entity/Q726764,/wiki/Luigi_Bianchi,/wiki/Enrico_Betti/wiki/Luigi_Bianchi,http://dbpedia.org/resource/Enrico_Betti,/wiki/Enrico_Betti,http://dbpedia.org/resource/Luigi_Bianchi,/wiki/Luigi_Bianchi,/wiki/Enrico_Betti/wiki/Luigi_Bianchi
http://www.wikidata.org/entity/Q92951,/wiki/Jacob_T._Schwartz,http://www.wikidata.org/entity/Q6183750,/wiki/Jerry_Hobbs,/wiki/Jacob_T._Schwartz/wiki/Jerry_Hobbs,http://dbpedia.org/resource/Jacob_T._Schwartz,/wiki/Jacob_T._Schwartz,http://dbpedia.org/resource/Jerry_Hobbs,/wiki/Jerry_Hobbs,/wiki/Jacob_T._Schwartz/wiki/Jerry_Hobbs
http://www.wikidata.org/entity/Q2149922,/wiki/Richard_Kadison,http://www.wikidata.org/entity/Q370116,/wiki/James_Glimm,/wiki/Richard_Kadison/wiki/James_Glimm,http://dbpedia.org/resource/Richard_Kadison,/wiki/Richard_Kadison,http://dbpedia.org/resource/James_Glimm,/wiki/James_Glimm,/wiki/Richard_Kadison/wiki/James_Glimm
http://www.wikidata.org/entity/Q4731760,/wiki/Allen_Shields,http://www.wikidata.org/entity/Q76548381,/wiki/Russell_Lyons,/wiki/Allen_Shields/wiki/Russell_Lyons,http://dbpedia.org/resource/Allen_Shields,/wiki/Allen_Shields,http://dbpedia.org/resource/Russell_Lyons,/wiki/Russell_Lyons,/wiki/Allen_Shields/wiki/Russell_Lyons
http://www.wikidata.org/entity/Q410,/wiki/Carl_Sagan,http://www.wikidata.org/entity/Q139753,/wiki/James_B._Pollack,/wiki/Carl_Sagan/wiki/James_B._Pollack,http://dbpedia.org/resource/Carl_Sagan,/wiki/Carl_Sagan,http://dbpedia.org/resource/James_B._Pollack,/wiki/James_B._Pollack,/wiki/Carl_Sagan/wiki/James_B._Pollack
http://www.wikidata.org/entity/Q5235135,/wiki/David_Hopwood,http://www.wikidata.org/entity/Q16199271,/wiki/Mervyn_Bibb,/wiki/David_Hopwood/wiki/Mervyn_Bibb,http://dbpedia.org/resource/David_Hopwood,/wiki/David_Hopwood,http://dbpedia.org/resource/Mervyn_Bibb,/wiki/Mervyn_Bibb,/wiki/David_Hopwood/wiki/Mervyn_Bibb
http://www.wikidata.org/entity/Q122724,/wiki/Eduard_Stiefel,http://www.wikidata.org/entity/Q125651,/wiki/Ambros_Speiser,/wiki/Eduard_Stiefel/wiki/Ambros_Speiser,http://dbpedia.org/resource/Eduard_Stiefel,/wiki/Eduard_Stiefel,http://dbpedia.org/resource/Ambros_Speiser,/wiki/Ambros_Speiser,/wiki/Eduard_Stiefel/wiki/Ambros_Speiser
http://www.wikidata.org/entity/Q1586143,/wiki/Harrie_Massey,http://www.wikidata.org/entity/Q15918002,/wiki/Alan_Martin_(physicist),/wiki/Harrie_Massey/wiki/Alan_Martin_(physicist),http://dbpedia.org/resource/Harrie_Massey,/wiki/Harrie_Massey,http://dbpedia.org/resource/Alan_Martin_(physicist),/wiki/Alan_Martin_(physicist),/wiki/Harrie_Massey/wiki/Alan_Martin_(physicist)
http://www.wikidata.org/entity/Q671993,/wiki/John_H._Coates,http://www.wikidata.org/entity/Q51754593,/wiki/Anupam_Saikia,/wiki/John_H._Coates/wiki/Anupam_Saikia,http://dbpedia.org/resource/John_H._Coates,/wiki/John_H._Coates,http://dbpedia.org/resource/Anupam_Saikia,/wiki/Anupam_Saikia,/wiki/John_H._Coates/wiki/Anupam_Saikia
http://www.wikidata.org/entity/Q57103,/wiki/Karl_Weierstrass,http://www.wikidata.org/entity/Q73685,/wiki/Adolf_Piltz,/wiki/Karl_Weierstrass/wiki/Adolf_Piltz,http://dbpedia.org/resource/Karl_Weierstrass,/wiki/Karl_Weierstrass,http://dbpedia.org/resource/Adolf_Piltz,/wiki/Adolf_Piltz,/wiki/Karl_Weierstrass/wiki/Adolf_Piltz
http://www.wikidata.org/entity/Q253354,/wiki/Oded_Goldreich,http://www.wikidata.org/entity/Q62007126,/wiki/Ran_Canetti,/wiki/Oded_Goldreich/wiki/Ran_Canetti,http://dbpedia.org/resource/Oded_Goldreich,/wiki/Oded_Goldreich,http://dbpedia.org/resource/Ran_Canetti,/wiki/Ran_Canetti,/wiki/Oded_Goldreich/wiki/Ran_Canetti
http://www.wikidata.org/entity/Q1169890,/wiki/Steven_Kleiman,http://www.wikidata.org/entity/Q61722013,/wiki/Susan_Jane_Colley,/wiki/Steven_Kleiman/wiki/Susan_Jane_Colley,http://dbpedia.org/resource/Steven_Kleiman,/wiki/Steven_Kleiman,http://dbpedia.org/resource/Susan_Jane_Colley,/wiki/Susan_Jane_Colley,/wiki/Steven_Kleiman/wiki/Susan_Jane_Colley
http://www.wikidata.org/entity/Q62645,/wiki/Woldemar_Voigt,http://www.wikidata.org/entity/Q61755,/wiki/Paul_Drude,/wiki/Woldemar_Voigt/wiki/Paul_Drude,http://dbpedia.org/resource/Woldemar_Voigt,/wiki/Woldemar_Voigt,http://dbpedia.org/resource/Paul_Drude,/wiki/Paul_Drude,/wiki/Woldemar_Voigt/wiki/Paul_Drude
http://www.wikidata.org/entity/Q1464744,/wiki/Albert_Nijenhuis,http://www.wikidata.org/entity/Q5958859,/wiki/Ebadollah_S._Mahmoodian,/wiki/Albert_Nijenhuis/wiki/Ebadollah_S._Mahmoodian,http://dbpedia.org/resource/Albert_Nijenhuis,/wiki/Albert_Nijenhuis,http://dbpedia.org/resource/Ebadollah_S._Mahmoodian,/wiki/Ebadollah_S._Mahmoodian,/wiki/Albert_Nijenhuis/wiki/Ebadollah_S._Mahmoodian
http://www.wikidata.org/entity/Q92741,/wiki/Alonzo_Church,http://www.wikidata.org/entity/Q49823,/wiki/Dana_Scott,/wiki/Alonzo_Church/wiki/Dana_Scott,http://dbpedia.org/resource/Alonzo_Church,/wiki/Alonzo_Church,http://dbpedia.org/resource/Dana_Scott,/wiki/Dana_Scott,/wiki/Alonzo_Church/wiki/Dana_Scott
http://www.wikidata.org/entity/Q184433,/wiki/Andrew_Wiles,http://www.wikidata.org/entity/Q16338390,/wiki/Ehud_de_Shalit,/wiki/Andrew_Wiles/wiki/Ehud_de_Shalit,http://dbpedia.org/resource/Andrew_Wiles,/wiki/Andrew_Wiles,http://dbpedia.org/resource/Ehud_de_Shalit,/wiki/Ehud_de_Shalit,/wiki/Andrew_Wiles/wiki/Ehud_de_Shalit
http://www.wikidata.org/entity/Q331623,/wiki/Curtis_Callan,http://www.wikidata.org/entity/Q65548634,/wiki/Vijay_Balasubramanian,/wiki/Curtis_Callan/wiki/Vijay_Balasubramanian,http://dbpedia.org/resource/Curtis_Callan,/wiki/Curtis_Callan,http://dbpedia.org/resource/Vijay_Balasubramanian,/wiki/Vijay_Balasubramanian,/wiki/Curtis_Callan/wiki/Vijay_Balasubramanian
http://www.wikidata.org/entity/Q930705,/wiki/Einar_Hille,http://www.wikidata.org/entity/Q744288,/wiki/Thomas_L._Saaty,/wiki/Einar_Hille/wiki/Thomas_L._Saaty,http://dbpedia.org/resource/Einar_Hille,/wiki/Einar_Hille,http://dbpedia.org/resource/Thomas_L._Saaty,/wiki/Thomas_L._Saaty,/wiki/Einar_Hille/wiki/Thomas_L._Saaty
http://www.wikidata.org/entity/Q353426,/wiki/John_Edensor_Littlewood,http://www.wikidata.org/entity/Q123647,/wiki/Stanley_Skewes,/wiki/John_Edensor_Littlewood/wiki/Stanley_Skewes,http://dbpedia.org/resource/John_Edensor_Littlewood,/wiki/John_Edensor_Littlewood,http://dbpedia.org/resource/Stanley_Skewes,/wiki/Stanley_Skewes,/wiki/John_Edensor_Littlewood/wiki/Stanley_Skewes
http://www.wikidata.org/entity/Q382207,/wiki/John_Tukey,http://www.wikidata.org/entity/Q3371827,/wiki/Paul_Meier_(statistician),/wiki/John_Tukey/wiki/Paul_Meier_(statistician),http://dbpedia.org/resource/John_Tukey,/wiki/John_Tukey,http://dbpedia.org/resource/Paul_Meier_(statistician),/wiki/Paul_Meier_(statistician),/wiki/John_Tukey/wiki/Paul_Meier_(statistician)
http://www.wikidata.org/entity/Q11875570,/wiki/Leo_Sario,http://www.wikidata.org/entity/Q4669180,/wiki/Abraham_Silvers,/wiki/Leo_Sario/wiki/Abraham_Silvers,http://dbpedia.org/resource/Leo_Sario,/wiki/Leo_Sario,http://dbpedia.org/resource/Abraham_Silvers,/wiki/Abraham_Silvers,/wiki/Leo_Sario/wiki/Abraham_Silvers
http://www.wikidata.org/entity/Q381307,/wiki/Oscar_Zariski,http://www.wikidata.org/entity/Q1673262,/wiki/Irvin_Cohen,/wiki/Oscar_Zariski/wiki/Irvin_Cohen,http://dbpedia.org/resource/Oscar_Zariski,/wiki/Oscar_Zariski,http://dbpedia.org/resource/Irvin_Cohen,/wiki/Irvin_Cohen,/wiki/Oscar_Zariski/wiki/Irvin_Cohen
http://www.wikidata.org/entity/Q948396,/wiki/Philip_Hall,http://www.wikidata.org/entity/Q1731328,/wiki/Karl_W._Gruenberg,/wiki/Philip_Hall/wiki/Karl_W._Gruenberg,http://dbpedia.org/resource/Philip_Hall,/wiki/Philip_Hall,http://dbpedia.org/resource/Karl_W._Gruenberg,/wiki/Karl_W._Gruenberg,/wiki/Philip_Hall/wiki/Karl_W._Gruenberg
http://www.wikidata.org/entity/Q7791645,/wiki/Thomas_L._Magnanti,http://www.wikidata.org/entity/Q56087071,/wiki/Georgia_Perakis,/wiki/Thomas_L._Magnanti/wiki/Georgia_Perakis,http://dbpedia.org/resource/Thomas_L._Magnanti,/wiki/Thomas_L._Magnanti,http://dbpedia.org/resource/Georgia_Perakis,/wiki/Georgia_Perakis,/wiki/Thomas_L._Magnanti/wiki/Georgia_Perakis
http://www.wikidata.org/entity/Q1425084,/wiki/Vitali_Milman,http://www.wikidata.org/entity/Q1819412,/wiki/Leonid_Polterovich,/wiki/Vitali_Milman/wiki/Leonid_Polterovich,http://dbpedia.org/resource/Vitali_Milman,/wiki/Vitali_Milman,http://dbpedia.org/resource/Leonid_Polterovich,/wiki/Leonid_Polterovich,/wiki/Vitali_Milman/wiki/Leonid_Polterovich
http://www.wikidata.org/entity/Q68519,/wiki/Adolf_Kneser,http://www.wikidata.org/entity/Q47380109,/wiki/Rudolf_Weyrich,/wiki/Adolf_Kneser/wiki/Rudolf_Weyrich,http://dbpedia.org/resource/Adolf_Kneser,/wiki/Adolf_Kneser,http://dbpedia.org/resource/Rudolf_Weyrich,/wiki/Rudolf_Weyrich,/wiki/Adolf_Kneser/wiki/Rudolf_Weyrich
http://www.wikidata.org/entity/Q692166,/wiki/Arne_Beurling,http://www.wikidata.org/entity/Q929396,/wiki/Carl-Gustav_Esseen,/wiki/Arne_Beurling/wiki/Carl-Gustav_Esseen,http://dbpedia.org/resource/Arne_Beurling,/wiki/Arne_Beurling,http://dbpedia.org/resource/Carl-Gustav_Esseen,/wiki/Carl-Gustav_Esseen,/wiki/Arne_Beurling/wiki/Carl-Gustav_Esseen
http://www.wikidata.org/entity/Q725840,/wiki/Barry_Trost,http://www.wikidata.org/entity/Q4963434,/wiki/Brian_Coppola,/wiki/Barry_Trost/wiki/Brian_Coppola,http://dbpedia.org/resource/Barry_Trost,/wiki/Barry_Trost,http://dbpedia.org/resource/Brian_Coppola,/wiki/Brian_Coppola,/wiki/Barry_Trost/wiki/Brian_Coppola
http://www.wikidata.org/entity/Q717421,/wiki/Chia-Chiao_Lin,http://www.wikidata.org/entity/Q11590,/wiki/Phyllis_Fox,/wiki/Chia-Chiao_Lin/wiki/Phyllis_Fox,http://dbpedia.org/resource/Chia-Chiao_Lin,/wiki/Chia-Chiao_Lin,http://dbpedia.org/resource/Phyllis_Fox,/wiki/Phyllis_Fox,/wiki/Chia-Chiao_Lin/wiki/Phyllis_Fox
